Name,Bronze,Gold,Silver,Total
"Rica Reinisch (-Assmann, -Neumann)",0,3,0,3
Richard "Ricky" Berens,0,2,1,3
Richard John "Rick" Carey,0,3,0,3
Robert Steven "Steve" Genter,0,1,2,3
Roland Mark Schoeman,1,1,1,3
Ryan Murphy,0,3,0,3
Ryosuke Irie,1,0,2,3
Samantha Linette "Sam" Riley,2,0,1,3
Sandra Lynn "Sandy" Neilson (-Bell),0,3,0,3
Sandra Vlker,2,0,1,3
Sarah Frederica Sjstrm,1,1,1,3
Sarah Michelle Ryan,0,1,2,3
Satomi Suzuki,2,0,1,3
Silke Hrner (-Schuck),1,2,0,3
Stefan Pfeiffer,2,0,1,3
Stephanie Louise "Steph" Rice,0,3,0,3
Susanne Jean "Susie" Atwood,1,1,1,3
Sylvia Eliina Ruuska,1,1,1,3
TANG Qianting,1,0,2,3
Thomas Fahrner,2,0,1,3
Thomas Fitzgerald "Tom" Dolan,0,2,1,3
Thomas Harold "Tom" Ponting,1,0,2,3
Todd Robert Pearson,0,2,1,3
Tracy Ann Caulkins (-Stockwell),0,3,0,3
Ulrike Richter (-Schmidt),0,3,0,3
Uwe Daler,1,1,1,3
Vladimir Ivanovich Kosinsky,1,0,2,3
Vladimir Vladimirovich Selkov,0,0,3,3
Vladislav Vladimirovich Kulikov,1,0,2,3
Wendy Lou Lansbach Boglioli,1,1,1,3
Whitney Lynn Hedgepeth (-Luther),0,1,2,3
"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",0,1,2,3
XU Jiayu,0,1,2,3
Yang Wenyi,0,1,2,3
Yannick Agnel,0,2,1,3
Yevgeny Viktorovich Sadovy,0,3,0,3
Yuliya Andreyevna Yefimova,1,0,2,3
ALEXY Jack,0,1,1,2
ANDERSON Iona,1,0,1,2
ARMSTRONG Hunter,0,1,1,2
Abbey Weitzeil,0,1,1,2
Adam George Peaty,0,1,1,2
"Aina Berg (-Brolin, -Heinze)",2,0,0,2
Albina Lucy Charlotte Osipowich (-Van Aken),0,2,0,2
Alexander "Alex" Baumann,0,2,0,2
Alexandre "Alex" Jany,2,0,0,2
Alfrd (Arnold-) Hajs (Guttmann-),0,2,0,2
Andrea Gyarmati (-Hesz),1,0,1,2
Andrey Vladislavovich Smirnov,1,0,1,2
Angie Lee Bainbridge,0,1,1,2
Anne Elizabeth Jardin (-Alexander),2,0,0,2
Anthony Conrad Nesty,1,1,0,2
Antoaneta Nikolova Frenkeva,1,0,1,2
Arkady Arkadyevich Vyachanin,2,0,0,2
Arvo Ossian Aaltonen,2,0,0,2
Ashley John Callus,1,1,0,2
Attila Czene,1,1,0,2
Aya Terakawa,2,0,0,2
BERKOFF Katharine,1,1,0,2
Beatrice Nicoleta Coad-Claru,1,0,1,2
Bengt Baron,1,1,0,2
Bengt Christer Wallin,0,0,2,2
Bengt Zikarsky,2,0,0,2
Beverley Joy Whitfield,1,1,0,2
Bradley Darrell Schumacher,0,2,0,2
Brian Stuart Goodell,0,2,0,2
Brooke Louise Hanson (-Clarke),0,1,1,2
Bruce MacFarlane Furniss,0,2,0,2
CECCON Thomas,1,1,0,2
Caeleb Remel Dressel,0,2,0,2
Cameron McEvoy,2,0,0,2
Cameron van der Burgh,0,1,1,2
Carolyn Jane Schuler,0,2,0,2
Carolyn Virginia Wood,0,2,0,2
Catherine Franoise Marella Plewinski (-Arie),2,0,0,2
Catherine L. "Cathy" Carr (-West),0,2,0,2
Catherine Mai-Lan Fox,0,2,0,2
Catherine Michelle "Katie" Meili,1,1,0,2
Cathy Jane Ferguson (-Brennan),0,2,0,2
Chantal Groot,1,0,1,2
Chester Andrew "Chet" Jastremski,1,1,0,2
