Name,Bronze,Gold,Silver,Total
Aleksandr Georgiyevich Baryshnikov,1,0,1,2
Aleksandr Timofeyevich Aksinin,1,1,0,2
Alexandra Angela "Sandie" Richards,1,0,1,2
Alexandre Franois tienne Jean Bouin,1,0,1,2
Alfred Ernest Tysoe,0,2,0,2
Allan Wipper Wells,0,1,1,2
Almaz Ayana Eba,1,1,0,2
Alonzo Carl Babers,0,2,0,2
Alvin Leonardo Harrison,0,1,1,2
Ana Fidelia Quirot Mor,1,0,1,2
Anastasia Kelesidou,0,0,2,2
Anastasiya Aleksandrovna Kapachinskaya,0,0,2,2
Anatoliy Pavlovych Bondarchuk,1,1,0,2
Andr Domingos da Silva,1,0,1,2
Andreas Thorkildsen,0,2,0,2
Andrew Orlando Valmon,0,2,0,2
Anier Octavio Garca Ortz,1,1,0,2
Anita Wodarczyk,0,1,1,2
Ann Elizabeth Packer (-Brightwell),0,1,1,2
Anna Vladimirovna Chicherova,1,1,0,2
Annette Joan Rogers (-Kelly),0,2,0,2
Armin Hary,0,2,0,2
Arne Halse,1,0,1,2
Arthur Godfrey Kilner Brown,0,1,1,2
Arthur James Robertson,0,1,1,2
Artur Jerzy Partyka,1,0,1,2
Ashton James Eaton,0,2,0,2
Astrid Kumbernuss,1,1,0,2
Avard Moncur,1,0,1,2
BENJAMIN Rai,0,2,0,2
BROWN Kaylyn,0,1,1,2
Barbara Ann Ferrell (-Edmonson),0,1,1,2
Barbara Pearl Jones (-Slater),0,2,0,2
"Benjamin Sinclair ""Ben"" Johnson, Jr.",2,0,0,2
Benjamin Willard "Ben" Adams,1,0,1,2
Bernard Kipchirchir Lagat,1,0,1,2
"Bernard Rollen Williams, III",0,1,1,2
Beverley Lanita "Bev" Goddard-Callender,2,0,0,2
Blanka Vlai,1,0,1,2
Boris Sergeyevich Tokarev,0,0,2,2
Brimin Kiprop (Firmin-) Kipruto,0,1,1,2
Brittney Davon Reese,0,1,1,2
Bronisaw Malinowski,0,1,1,2
Bror Erik Bylhn,0,0,2,2
Bror Karl Fock,0,1,1,2
Bruno Junk,2,0,0,2
Bryan Ezra Tsumoru Clay,0,1,1,2
Burglinde Pollak (-Grimm),2,0,0,2
CHEBET Beatrice,0,2,0,2
Calvin David "Cal" Bricker,1,0,1,2
Calvin Smith,1,1,0,2
Carl Johan Lind,1,0,1,2
Carl Kaufmann,0,0,2,2
Carl Rune Larsson,2,0,0,2
Carlette Denise Guidry-White (-Falkquay),0,2,0,2
Carlos Alberto de Sousa Lopes,0,1,1,2
Caterine Ibargn Mena,0,1,1,2
Catherine Astrid Salome "Cathy" Freeman,0,1,1,2
Chandra Lavon Sturrup,0,1,1,2
Charles Asati,0,1,1,2
Charles Decker Reidpath,0,2,0,2
Charles Edward "Charlie" Greene,1,1,0,2
"Charles Hewes ""Charlie"" Moore, Jr.",0,1,1,2
"Charles Lamont ""Charlie"" Jenkins, Sr.",0,2,0,2
"Christa Stubnick (Seliger-, -Fischer)",0,0,2,2
Christian Taylor,0,2,0,2
Christina Obergfll,1,0,1,2
Christine Day,1,0,1,2
Christophe Alexandre Christian Lematre,2,0,0,2
Chryste Dionne Gaines,1,1,0,2
Chuhei Nanbu,1,1,0,2
"Clarence Earl ""Arnie"" Robinson, Jr.",1,1,0,2
Claude Piquemal,2,0,0,2
Conant Meigs "Con" King,0,0,2,2
DAVEY Lewis,2,0,0,2
DEADMON Bryce,0,1,1,2
"Dallas Crutcher Long, III",1,1,0,2
Dana Ingrov-Ztopkov,0,1,1,2
Daniel Joseph "Danny Joe" Everett,1,1,0,2
Dannette Louise Young (-Stone),0,1,1,2
Danny D. McFarlane,0,0,2,2
Darren Andrew Campbell,0,1,1,2
David George Brownlow Cecil Burghley,0,1,1,2
David Lekuta Rudisha,0,2,0,2
David Neville,1,1,0,2
"Dawn Harper (-Everhart, -Nelson)",0,1,1,2
Denis Gennadyevich Nizhegorodov,1,0,1,2
Denise Lewis,1,1,0,2
Derek Drouin,1,1,0,2
Derek James Neville Johnson,1,0,1,2
Derrick Keith Brew,1,1,0,2
Diane Lynn Dixon (-Trouse),0,1,1,2
Dieter Baumann,0,1,1,2
Doina Ofelia Beliu-Melinte,0,1,1,2
Donald Fithian Lippincott,1,0,1,2
Donald Osborne "Don" Finlay,1,0,1,2
Donovan Bailey,0,2,0,2
Dorothy Jennifer Beatrice Odam-Tyler,0,0,2,2
Douglas Gordon Arthur Lowe,0,2,0,2
Du'aine Ladejo (Thorne-),1,0,1,2
Dwight Edwin Stones,2,0,0,2
Edson Luciano Ribeiro,1,0,1,2
Edward "Eddie" Owen,1,0,1,2
Edward Ferdinand Jacob "Ed" Lindberg,1,1,0,2
Edwin Anthony Roberts,2,0,0,2
Edwin Harold "Teddy" Flack,0,2,0,2
Eero Edvin Berg,1,1,0,2
Eero Reino Lehtonen,0,2,0,2
Eileen May Hiscock (-Wilson),1,0,1,2
Eino Rastas,0,2,0,2
Elbieta Maria Krzesiska-Duska,0,1,1,2
Eldece Clarke-Lewis,0,1,1,2
Elias Katz,0,1,1,2
Ellen Strophal-Streidt (-Wendland-),1,1,0,2
Ellery Harding Clark,0,2,0,2
Ellina Aleksandrovna Zvereva (Kisheyeva-),1,1,0,2
Elsa Katrine "Trine" Solberg-Hattestad,1,1,0,2
Emmanuel Earl Callender,0,1,1,2
Enee Enefiok Udo-Obong,1,1,0,2
Enrique Figuerola Camu,0,0,2,2
Eric Henry Liddell,1,1,0,2
Eric Randolph "Randy" Barnes,0,1,1,2
Erich Arthur Fritz Schwab,1,0,1,2
Erich Borchmeyer,1,0,1,2
Erick Wainaina,1,0,1,2
Erik Albin Almlf,2,0,0,2
Ethel May Smith (-Stewart),1,1,0,2
Evelin Schlaak-Jahl (-Herberg),0,2,0,2
Ewa Kobukowska,1,1,0,2
Ezekiel Kemboi Cheboi,0,2,0,2
FISHER Grant,2,0,0,2
Falilat Ogunkoya (-Osheku),1,0,1,2
Fanny "Bobby" Rosenfeld,0,1,1,2
"Fatima N. (Fatma-) Whitbread (Vedad-, -Norman)",1,0,1,2
Fay R. Moulton,1,0,1,2
Fermn Cacho Ruiz,0,1,1,2
Fiona Winsome Marcia May (-Iapichino),0,0,2,2
Flix Snchez Marcelo,0,2,0,2
"Floyd Macon Simmons, Jr.",2,0,0,2
Fortune Everett Gordien,1,0,1,2
Francena Lynette McCorory,0,2,0,2
Francis Morgan "Daley" Thompson,0,2,0,2
Frank Charles Shorter,0,1,1,2
Frank Laird Waller,0,0,2,2
Frank Schaffer,1,0,1,2
Franoise Mbango Etone,0,2,0,2
Frans Wilhelm "Ville" Prhl (Horneman-),0,1,1,2
Frederick Vaughn "Fred" Newhouse,0,1,1,2
Fulgencia Romay Martnez,1,0,1,2
Galen Rupp,1,0,1,2
Galina Vyacheslavovna Malchugina (Mikheyeva-),1,0,1,2
Georg Lammers,1,0,1,2
George Coleman Poage,2,0,0,2
George Edward Larner,0,2,0,2
George Ezekiel Kerr,2,0,0,2
George Lawrence "Larry" James,0,1,1,2
George Roger Woods,0,0,2,2
George Vincent Rhoden,0,2,0,2
George Washington F. Orton,1,1,0,2
George William Hutson,2,0,0,2
Georges Ivan "Go" Andr (Monnard-),1,0,1,2
Gerd Kanter,1,1,0,2
